ID;employeeID;skillID;proficiencyLevelID;yearsExperience;source;validationStatus;confirmedAt
66666666-6666-6666-6666-666666666601;EMP1;11111111-1111-1111-1111-111111111111;PL3;5.0;system;verified;2026-07-01T10:00:00Z
66666666-6666-6666-6666-666666666602;EMP1;22222222-2222-2222-2222-222222222222;PL3;4.0;system;verified;2026-07-02T10:00:00Z
66666666-6666-6666-6666-666666666603;EMP1;66666666-6666-6666-6666-111111111111;PL3;3.5;system;verified;2026-07-03T10:00:00Z
66666666-6666-6666-6666-666666666604;EMP1;88888888-8888-8888-8888-111111111111;PL3;3.0;manual;managerConfirmed;2026-07-04T10:00:00Z
66666666-6666-6666-6666-666666666605;EMP2;11111111-1111-1111-1111-111111111111;PL2;2.0;system;selfDeclared;2026-07-01T11:00:00Z
66666666-6666-6666-6666-666666666606;EMP2;33333333-3333-3333-3333-333333333333;PL2;1.5;manual;selfDeclared;2026-07-02T11:00:00Z
66666666-6666-6666-6666-666666666607;EMP2;44444444-4444-4444-4444-444444444444;PL2;2.5;system;selfDeclared;2026-07-05T11:00:00Z
66666666-6666-6666-6666-666666666608;EMP2;77777777-7777-7777-7777-111111111111;PL1;0.5;system;verified;2026-07-06T11:00:00Z
66666666-6666-6666-6666-666666666609;EMP3;55555555-5555-5555-5555-555555555555;PL9;10.0;manual;managerConfirmed;2026-07-01T12:00:00Z
66666666-6666-6666-6666-666666666610;EMP3;bbbbbbbb-bbbb-bbbb-bbbb-111111111111;PL9;8.0;manual;managerConfirmed;2026-07-02T12:00:00Z
66666666-6666-6666-6666-666666666611;EMP3;cccccccc-cccc-cccc-cccc-111111111111;PL6;5.0;system;verified;2026-07-03T12:00:00Z
66666666-6666-6666-6666-666666666612;EMP4;33333333-3333-3333-3333-333333333333;PL5;6.0;system;verified;2026-07-01T13:00:00Z
66666666-6666-6666-6666-666666666613;EMP4;55555555-5555-5555-5555-555555555555;PL8;8.0;manual;managerConfirmed;2026-07-02T13:00:00Z
66666666-6666-6666-6666-666666666614;EMP4;ffffffff-ffff-ffff-ffff-111111111111;PL8;7.0;manual;managerConfirmed;2026-07-03T13:00:00Z
66666666-6666-6666-6666-666666666615;EMP5;11111111-1111-1111-1111-111111111111;PL3;4.0;system;verified;2026-07-07T10:00:00Z
66666666-6666-6666-6666-666666666616;EMP5;66666666-6666-6666-6666-111111111111;PL3;4.0;system;verified;2026-07-08T10:00:00Z
66666666-6666-6666-6666-666666666617;EMP5;88888888-8888-8888-8888-111111111111;PL2;2.0;manual;managerConfirmed;2026-07-09T10:00:00Z
66666666-6666-6666-6666-666666666618;EMP5;dddddddd-dddd-dddd-dddd-111111111111;PL3;3.0;system;verified;2026-07-10T10:00:00Z
66666666-6666-6666-6666-666666666619;EMP6;55555555-5555-5555-5555-555555555555;PL8;6.0;system;verified;2026-07-07T11:00:00Z
66666666-6666-6666-6666-666666666620;EMP6;bbbbbbbb-bbbb-bbbb-bbbb-111111111111;PL8;5.0;manual;managerConfirmed;2026-07-08T11:00:00Z
66666666-6666-6666-6666-666666666621;EMP7;33333333-3333-3333-3333-333333333333;PL6;5.0;system;verified;2026-07-07T12:00:00Z
66666666-6666-6666-6666-666666666622;EMP7;44444444-4444-4444-4444-444444444444;PL6;4.0;system;verified;2026-07-08T12:00:00Z
66666666-6666-6666-6666-666666666623;EMP7;99999999-9999-9999-9999-111111111111;PL6;3.0;system;verified;2026-07-09T12:00:00Z
66666666-6666-6666-6666-666666666624;EMP7;aaaaaaaa-aaaa-aaaa-aaaa-111111111111;PL5;2.0;manual;selfDeclared;2026-07-10T12:00:00Z
66666666-6666-6666-6666-666666666625;EMP8;55555555-5555-5555-5555-555555555555;PL7;9.0;system;verified;2026-07-07T13:00:00Z
66666666-6666-6666-6666-666666666626;EMP8;ffffffff-ffff-ffff-ffff-111111111111;PL9;10.0;manual;managerConfirmed;2026-07-08T13:00:00Z
66666666-6666-6666-6666-666666666627;EMP9;11111111-1111-1111-1111-111111111111;PL2;1.5;system;selfDeclared;2026-07-11T10:00:00Z
66666666-6666-6666-6666-666666666628;EMP9;22222222-2222-2222-2222-222222222222;PL2;1.0;system;selfDeclared;2026-07-12T10:00:00Z
66666666-6666-6666-6666-666666666629;EMP10;cccccccc-cccc-cccc-cccc-111111111111;PL9;12.0;manual;managerConfirmed;2026-07-11T11:00:00Z
66666666-6666-6666-6666-666666666630;EMP11;11111111-1111-1111-1111-111111111111;PL1;0.5;system;selfDeclared;2026-07-13T10:00:00Z
66666666-6666-6666-6666-666666666631;EMP11;88888888-8888-8888-8888-111111111111;PL1;0.5;system;selfDeclared;2026-07-14T10:00:00Z
66666666-6666-6666-6666-666666666632;EMP12;cccccccc-cccc-cccc-cccc-111111111111;PL5;4.0;system;verified;2026-07-13T11:00:00Z
